rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0.05,456,1145,-460.9062,1004751,877,2189.06,0.05592382699251175,0.0001,238687
0.05,460,1155,-459.0232000000001,1013510,876,2188.65,0.04494815319776535,0.0001,240877
0.05,464,1166,-460.0365,1022307,876,2190.41,0.04062611982226372,0.0001,243076
0.05,468,1176,-457.7152,1030811,876,2186.77,0.0756523609161377,0.0001,245202
0.05,472,1187,-457.25260000000003,1039496,875,2186.37,0.047021836042404175,0.0001,247373
0.05,476,1197,-454.67889999999994,1048152,875,2183.51,0.043483562767505646,0.0001,249537
0.05,480,1208,-451.52639999999997,1056778,874,2181.19,0.043896935880184174,0.0001,251694
0.05,484,1218,-450.1387999999999,1065383,874,2179.78,0.03521694242954254,0.0001,253845
0.05,488,1228,-447.791,1073972,874,2178.39,0.02873850427567959,0.0001,255992
0.05,492,1238,-445.6861,1082527,873,2176.7,0.026746118441224098,0.0001,258131
0.05,496,1249,-445.5112,1091190,873,2176.49,0.05727269500494003,0.0001,260297
0.05,500,1259,-444.0039,1099800,872,2175.94,0.05429721996188164,0.0001,262449
0.05,504,1270,-442.0392,1108475,872,2174.98,0.04948356747627258,0.0001,264618
0.05,508,1280,-439.8902000000001,1117066,872,2172.83,0.0316433347761631,0.0001,266766
0.05,512,1290,-436.9575,1125483,871,2167.27,0.07417762279510498,0.0001,268870
0.05,516,1301,-434.43969999999996,1134125,871,2165.96,0.04966175928711891,0.0001,271031
0.05,520,1311,-433.5327,1142878,871,2167.01,0.054503921419382095,0.0001,273219
0.05,524,1322,-430.9764,1151567,870,2165.97,0.053671788424253464,0.0001,275391
0.05,528,1332,-430.9021,1160371,870,2166.93,0.05787336081266403,0.0001,277592
0.05,532,1343,-429.32200000000006,1169012,870,2166.02,0.04403967782855034,0.0001,279752
0.05,536,1353,-426.68840000000006,1177572,870,2164.56,0.0541183166205883,0.0001,281892
0.05,540,1363,-424.0229000000001,1186254,869,2163.97,0.03423430770635605,0.0001,284063
0.05,544,1374,-421.11789999999996,1194783,869,2161.31,0.05345728248357773,0.0001,286195
0.05,548,1384,-418.8265,1203413,869,2161.2,0.04390312731266022,0.0001,288353
0.05,552,1394,-416.91259999999994,1211951,868,2160.13,0.07650506496429443,0.0001,290487
0.05,556,1405,-414.4091999999999,1220731,868,2159.8,0.04930999502539635,0.0001,292682
0.05,560,1415,-413.0338999999999,1229483,868,2159.73,0.04145091027021408,0.0001,294870
0.05,564,1426,-411.08240000000006,1238050,867,2157.43,0.03992772474884987,0.0001,297012
0.05,568,1436,-411.0025,1246734,867,2159.23,0.04607014358043671,0.0001,299183
0.05,572,1447,-407.7777,1255318,867,2158.22,0.08544383198022842,0.0001,301329
0.05,576,1457,-406.6828,1264061,867,2159.09,0.04659895598888397,0.0001,303515
0.05,580,1468,-406.04630000000003,1272784,866,2160.06,0.047320280224084854,0.0001,305695
0.05,584,1478,-404.7357,1281344,866,2159.61,0.03209894523024559,0.0001,307835
0.05,588,1488,-404.2792000000001,1289895,866,2159.23,0.04259897768497467,0.0001,309973
0.05,592,1499,-403.2725000000001,1298556,866,2160.29,0.05479860678315163,0.0001,312138
0.05,596,1509,-400.7913000000001,1307120,865,2159.3,0.030723964795470238,0.0001,314279
0.05,600,1519,-399.39520000000005,1315652,865,2158.52,0.06011226400732994,0.0001,316412
0.05,604,1530,-398.4504,1324152,865,2156.77,0.05115807056427002,0.0001,318537
0.05,608,1540,-398.1979,1332734,864,2156.68,0.09612173587083817,0.0001,320683
0.05,612,1551,-398.2836000000001,1341366,864,2158.83,0.053994253277778625,0.0001,322841
0.05,616,1561,-397.12050000000005,1349915,864,2157.9,0.08324424922466278,0.0001,324978
0.05,620,1572,-396.0119999999999,1358542,864,2156.64,0.06500759720802307,0.0001,327135
0.05,624,1582,-395.12109999999996,1367131,863,2155.64,0.038128506392240524,0.0001,329282
0.05,628,1592,-393.4190000000001,1375761,863,2153.9,0.05841260775923729,0.0001,331440
0.05,632,1603,-391.9824,1384350,863,2153.38,0.027404988184571266,0.0001,333587
0.05,636,1613,-390.2384,1392852,863,2152.8,0.061034537851810455,0.0001,335712
0.05,640,1623,-388.3526000000001,1401276,863,2150.22,0.035710591822862625,0.0001,337818
0.05,644,1634,-386.57590000000005,1409880,862,2150.97,0.04455820098519325,0.0001,339969
0.05,648,1644,-386.2852,1418614,862,2152.01,0.03895969316363335,0.0001,342153
0.05,652,1655,-384.7608000000001,1427229,862,2152.78,0.03040442056953907,0.0001,344307
0.05,656,1665,-383.5539999999999,1435822,861,2150.91,0.04680776968598366,0.0001,346455
0.05,660,1676,-381.7148,1444354,861,2148.71,0.034128203988075256,0.0001,348588
0.05,664,1686,-379.7626,1452965,861,2149.15,0.024594919756054878,0.0001,350741
0.05,668,1697,-377.71160000000003,1461575,861,2148.41,0.021833062171936035,0.0001,352893
0.05,672,1707,-377.9543000000001,1470110,860,2147.92,0.04854859039187431,0.0001,355027
