rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/loss
-411.9300999999999,1109,975501,0.05,2163.51,444,879,0.0001,231375,0.07011276483535767
-411.4498999999999,1119,984219,0.05,2163.35,448,878,0.0001,233554,0.09441430121660233
-410.15469999999993,1130,992832,0.05,2163.33,452,878,0.0001,235707,0.041444845497608185
-408.56929999999994,1140,1001502,0.05,2163.4,456,877,0.0001,237875,0.015793470665812492
-406.10640000000006,1151,1010152,0.05,2162.32,460,877,0.0001,240037,0.06718374043703079
-404.92689999999993,1161,1018846,0.05,2161.25,464,877,0.0001,242211,0.04545675590634346
-403.5965,1171,1027409,0.05,2160.63,468,876,0.0001,244352,0.0501297190785408
-402.3132,1182,1036097,0.05,2161.92,472,876,0.0001,246524,0.05454019829630852
-401.49800000000005,1192,1044622,0.05,2161.38,476,875,0.0001,248655,0.041188113391399384
-401.0237999999999,1203,1053340,0.05,2160.35,480,875,0.0001,250834,0.036622222512960434
-399.6515,1213,1061847,0.05,2160.27,484,875,0.0001,252961,0.04578506946563721
-399.3079,1224,1070632,0.05,2161.37,488,874,0.0001,255157,0.0549657940864563
-398.3593,1234,1079192,0.05,2160.54,492,874,0.0001,257297,0.08565216511487961
-397.70059999999995,1244,1087829,0.05,2161.49,496,873,0.0001,259457,0.05315965786576271
-397.7846,1255,1096540,0.05,2161.6,500,873,0.0001,261634,0.06348025053739548
-394.93610000000007,1265,1105100,0.05,2159.44,504,873,0.0001,263774,0.030472518876194954
-394.49569999999994,1275,1113700,0.05,2160.12,508,872,0.0001,265924,0.04168475419282913
-393.98019999999997,1286,1122295,0.05,2159.55,512,872,0.0001,268073,0.04778892546892166
-392.2878999999999,1296,1130861,0.05,2159.5,516,872,0.0001,270215,0.046953726559877396
-390.9196999999999,1307,1139519,0.05,2158.18,520,871,0.0001,272379,0.026771802455186844
-389.92650000000003,1317,1148071,0.05,2157.11,524,871,0.0001,274517,0.026834379881620407
-389.22399999999993,1327,1156654,0.05,2157.18,528,871,0.0001,276663,0.035116247832775116
-387.39020000000005,1338,1165376,0.05,2157.0,532,870,0.0001,278843,0.06508968770503998
-386.1479,1348,1174043,0.05,2157.65,536,870,0.0001,281010,0.07231409102678299
